,ACCESSNO,CATEGORYNO,SITE,SITENO,PROVENANCE
3_0647,3,647,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.4 Excav Date - 00/00/36 In bottom of shells."
3_0649,3,649,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - ID.1 Excav Date - 00/00/36 Found under charcoal in shell in pit of S.W. part of hearth 2."
3_0650,3,650,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.3 Excav Date - 00//00/36 In shell above plow line."
3_0651,3,651,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.3 Excav Date - 00/00/36 Near charcoal in shells."
3_0653,3,653,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.4 On edge of black pebbles in humus."
3_0654,3,654,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - ID.1 In shells."
3_0655,3,655,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.4 Excav Date - 00/00/36 In shells."
3_0656,3,656,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.4 Bottom of shells."
3_0657,3,657,Nevin Shell Heap.,Me.152/1,"Locality: Bluehill Falls, Me. Section number - 5E Trench Number - IC.4 W. end of hearth."
3_0658,3,658,Nevin Shell Heap.,Me.152/1,"Section number - 5E Trench Number - IC.4 Locality - Bluehill Falls, Me. Situation - E. end of hearth stones."
3_0659,3,659,Nevin Shell Heap.,Me.152/1,"Section number - 5E Trench Number - IC.3 Locality - Bluehill Falls, Me. Situation - In shell."
3_0660,3,660,Nevin Shell Heap.,Me.152/1,"Section number - 5E Trench Number - IC.3 Locality - Bluehill Falls, Me. Situation - In shell."
3_0661,3,661,Nevin Shell Heap.,Me.152/1,"Section number - 5E Trench Number - IC.3 Locality - Bluehill Falls, Me. Situation - Lower shells below plow line."
3_0662,3,662,Nevin Shell Heap.,Me.152/1,"Section number - 5E Trench Number - IC.4 Locality - Bluehill Falls, Me. Situation - In shell layer between layer of pebbles which were found at bottom of shell."
